State,Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %
Colorado,2014,G,ADAMS,4253001245,319,37,356,241,67.70%
Colorado,2014,G,ADAMS,4255601241,40,17,57,30,52.63%
Colorado,2014,G,ADAMS,4255601246,"1,023",285,"1,308",687,52.52%
Colorado,2014,G,ADAMS,4255601247,430,34,464,327,70.47%
Colorado,2014,G,ADAMS,4255601248,"2,071",304,"2,375","1,512",63.66%
Colorado,2014,G,ADAMS,4255601249,21,5,26,15,57.69%
Colorado,2014,G,ADAMS,4255601250,296,41,337,230,68.25%
Colorado,2014,G,ADAMS,4255601251,14,1,15,13,86.67%
Colorado,2014,G,ADAMS,6243101150,"1,448",187,"1,635",969,59.27%
Colorado,2014,G,ADAMS,6243101151,"1,281",189,"1,470",848,57.69%
Colorado,2014,G,ADAMS,6243101159,981,105,"1,086",712,65.56%
Colorado,2014,G,ADAMS,6243401075,"1,159",81,"1,240",850,68.55%
Colorado,2014,G,ADAMS,6243401076,"1,123",187,"1,310",768,58.63%
Colorado,2014,G,ADAMS,6243401077,661,118,779,447,57.38%
Colorado,2014,G,ADAMS,6245601071,741,86,827,512,61.91%
Colorado,2014,G,ADAMS,6245601072,168,22,190,112,58.95%
Colorado,2014,G,ADAMS,6245601073,869,99,968,627,64.77%
Colorado,2014,G,ADAMS,6245601074,"1,019",128,"1,147",744,64.86%
Colorado,2014,G,ADAMS,6245601160,348,32,380,266,70.00%
Colorado,2014,G,ADAMS,6253001152,994,134,"1,128",673,59.66%
Colorado,2014,G,ADAMS,6253001153,653,95,748,445,59.49%
Colorado,2014,G,ADAMS,6253001154,54,3,57,37,64.91%
Colorado,2014,G,ADAMS,6253001155,326,24,350,233,66.57%
Colorado,2014,G,ADAMS,6253001156,234,20,254,188,74.02%
Colorado,2014,G,ADAMS,6253001157,859,104,963,597,61.99%
Colorado,2014,G,ADAMS,6253001226,184,26,210,122,58.10%
Colorado,2014,G,ADAMS,6253001229,"1,873","1,288","3,161",798,25.25%
Colorado,2014,G,ADAMS,6253001230,"1,802",601,"2,403",922,38.37%
Colorado,2014,G,ADAMS,6253001231,"1,295",607,"1,902",647,34.02%
Colorado,2014,G,ADAMS,6253001232,456,147,603,223,36.98%
Colorado,2014,G,ADAMS,6253001233,"1,217",249,"1,466",712,48.57%
Colorado,2014,G,ADAMS,6253001234,"1,010",241,"1,251",562,44.92%
Colorado,2014,G,ADAMS,6253001235,625,387,"1,012",297,29.35%
Colorado,2014,G,ADAMS,6253001236,"1,020",357,"1,377",613,44.52%
Colorado,2014,G,ADAMS,6253001237,976,356,"1,332",469,35.21%
Colorado,2014,G,ADAMS,6253001238,"1,064",244,"1,308",618,47.25%
Colorado,2014,G,ADAMS,6253001239,944,229,"1,173",563,48.00%
Colorado,2014,G,ADAMS,6253001240,983,277,"1,260",564,44.76%
Colorado,2014,G,ADAMS,6253001242,377,83,460,285,61.96%
Colorado,2014,G,ADAMS,6253001243,741,62,803,557,69.36%
Colorado,2014,G,ADAMS,6253101158,804,138,942,489,51.91%
Colorado,2014,G,ADAMS,6255601161,133,14,147,88,59.86%
Colorado,2014,G,ADAMS,6255601162,827,74,901,638,70.81%
Colorado,2014,G,ADAMS,6255601163,206,14,220,156,70.91%
Colorado,2014,G,ADAMS,6255601164,406,41,447,319,71.36%
Colorado,2014,G,ADAMS,6255601165,708,32,740,632,85.41%
Colorado,2014,G,ADAMS,6255601166,426,48,474,348,73.42%
Colorado,2014,G,ADAMS,6255601167,498,57,555,381,68.65%
Colorado,2014,G,ADAMS,6255601168,148,17,165,116,70.30%
Colorado,2014,G,ADAMS,6255601169,454,35,489,344,70.35%
Colorado,2014,G,ADAMS,6255601170,"1,194",275,"1,469",674,45.88%
Colorado,2014,G,ADAMS,6255601171,"1,176",150,"1,326",784,59.13%
Colorado,2014,G,ADAMS,6255601172,248,80,328,156,47.56%
Colorado,2014,G,ADAMS,6255601173,93,8,101,73,72.28%
Colorado,2014,G,ADAMS,6255601174,205,16,221,146,66.06%
Colorado,2014,G,ADAMS,6255601175,"1,092",189,"1,281",758,59.17%
Colorado,2014,G,ADAMS,6255601176,417,49,466,285,61.16%
Colorado,2014,G,ADAMS,6255601177,0,0,0,0,0.00%
Colorado,2014,G,ADAMS,6255601178,1,1,2,0,0.00%
Colorado,2014,G,ADAMS,6255601179,0,0,0,0,0.00%
Colorado,2014,G,ADAMS,6255601180,613,76,689,467,67.78%
Colorado,2014,G,ADAMS,6255601181,"1,164",297,"1,461",728,49.83%
Colorado,2014,G,ADAMS,6255601182,522,93,615,316,51.38%
Colorado,2014,G,ADAMS,6255601183,215,26,241,137,56.85%
Colorado,2014,G,ADAMS,6255601184,239,40,279,174,62.37%
Colorado,2014,G,ADAMS,6255601185,499,61,560,358,63.93%
Colorado,2014,G,ADAMS,6255601186,"1,049",219,"1,268",698,55.05%
Colorado,2014,G,ADAMS,6255601187,997,252,"1,249",696,55.72%
Colorado,2014,G,ADAMS,6255601188,702,96,798,513,64.29%
Colorado,2014,G,ADAMS,6255601189,744,81,825,610,73.94%
Colorado,2014,G,ADAMS,6255601190,"1,134",139,"1,273",777,61.04%
Colorado,2014,G,ADAMS,6255601191,"1,261",275,"1,536",824,53.65%
Colorado,2014,G,ADAMS,6255601192,767,220,987,439,44.48%
Colorado,2014,G,ADAMS,6255601193,"1,050",322,"1,372",562,40.96%
Colorado,2014,G,ADAMS,6255601194,330,12,342,244,71.35%
Colorado,2014,G,ADAMS,6255601195,343,45,388,265,68.30%
Colorado,2014,G,ADAMS,6255601196,84,72,156,30,19.23%
Colorado,2014,G,ADAMS,6255601197,45,21,66,32,48.48%
Colorado,2014,G,ADAMS,6255601198,624,46,670,474,70.75%
Colorado,2014,G,ADAMS,6255601227,333,23,356,265,74.44%
Colorado,2014,G,ADAMS,6255601228,835,106,941,632,67.16%
Colorado,2014,G,ADAMS,6255601244,619,66,685,477,69.64%
Colorado,2014,G,ADAMS,7213001130,287,45,332,181,54.52%
Colorado,2014,G,ADAMS,7213001140,531,110,641,313,48.83%
Colorado,2014,G,ADAMS,7213001141,750,223,973,450,46.25%
Colorado,2014,G,ADAMS,7213001199,555,87,642,388,60.44%
Colorado,2014,G,ADAMS,7213001200,109,9,118,91,77.12%
Colorado,2014,G,ADAMS,7213001201,224,38,262,160,61.07%
Colorado,2014,G,ADAMS,7213001202,336,44,380,243,63.95%
Colorado,2014,G,ADAMS,7213001203,187,25,212,140,66.04%
Colorado,2014,G,ADAMS,7213001204,621,150,771,369,47.86%
Colorado,2014,G,ADAMS,7213001205,"1,109",176,"1,285",713,55.49%
Colorado,2014,G,ADAMS,7213001206,"1,179",173,"1,352",706,52.22%
Colorado,2014,G,ADAMS,7213001207,597,94,691,375,54.27%
Colorado,2014,G,ADAMS,7213001210,881,113,994,560,56.34%
Colorado,2014,G,ADAMS,7213001211,388,86,474,247,52.11%
Colorado,2014,G,ADAMS,7213001212,182,18,200,144,72.00%
Colorado,2014,G,ADAMS,7213001213,127,8,135,96,71.11%
Colorado,2014,G,ADAMS,7213001214,895,166,"1,061",644,60.70%
Colorado,2014,G,ADAMS,7213001215,"1,128",227,"1,355",776,57.27%
Colorado,2014,G,ADAMS,7213001225,209,20,229,168,73.36%
Colorado,2014,G,ADAMS,7213101117,"1,466",233,"1,699",849,49.97%
Colorado,2014,G,ADAMS,7213101118,926,201,"1,127",506,44.90%
Colorado,2014,G,ADAMS,7213201001,"1,303",480,"1,783",669,37.52%
Colorado,2014,G,ADAMS,7213201002,"1,372",250,"1,622",779,48.03%
Colorado,2014,G,ADAMS,7213201003,593,63,656,386,58.84%
Colorado,2014,G,ADAMS,7213201004,796,186,982,437,44.50%
Colorado,2014,G,ADAMS,7213201005,"1,364",245,"1,609",783,48.66%
Colorado,2014,G,ADAMS,7213201006,928,270,"1,198",448,37.40%
Colorado,2014,G,ADAMS,7213201007,"1,190",194,"1,384",710,51.30%
Colorado,2014,G,ADAMS,7213201008,902,158,"1,060",510,48.11%
Colorado,2014,G,ADAMS,7213201009,788,163,951,496,52.16%
Colorado,2014,G,ADAMS,7213201021,"1,237",377,"1,614",659,40.83%
Colorado,2014,G,ADAMS,7213201022,"1,318",213,"1,531",762,49.77%
Colorado,2014,G,ADAMS,7213201023,936,245,"1,181",507,42.93%
Colorado,2014,G,ADAMS,7213201119,"1,113",313,"1,426",576,40.39%
Colorado,2014,G,ADAMS,7213201120,"1,082",242,"1,324",594,44.86%
Colorado,2014,G,ADAMS,7213201121,"1,013",292,"1,305",565,43.30%
Colorado,2014,G,ADAMS,7213201122,680,152,832,370,44.47%
Colorado,2014,G,ADAMS,7213201123,"1,319",345,"1,664",596,35.82%
Colorado,2014,G,ADAMS,7213201124,"1,299",285,"1,584",626,39.52%
Colorado,2014,G,ADAMS,7213201125,"1,574",428,"2,002",770,38.46%
Colorado,2014,G,ADAMS,7213201126,"1,440",277,"1,717",739,43.04%
Colorado,2014,G,ADAMS,7213201127,"1,581",296,"1,877",757,40.33%
Colorado,2014,G,ADAMS,7213201128,"1,835",425,"2,260",892,39.47%
Colorado,2014,G,ADAMS,7213201129,859,239,"1,098",429,39.07%
Colorado,2014,G,ADAMS,7213201208,430,126,556,239,42.99%
Colorado,2014,G,ADAMS,7213201209,635,106,741,380,51.28%
Colorado,2014,G,ADAMS,7213201216,"1,429",260,"1,689",878,51.98%
Colorado,2014,G,ADAMS,7213201217,653,123,776,399,51.42%
Colorado,2014,G,ADAMS,7213201218,584,74,658,412,62.61%
Colorado,2014,G,ADAMS,7213201219,210,39,249,132,53.01%
Colorado,2014,G,ADAMS,7213201220,0,0,0,0,0.00%
Colorado,2014,G,ADAMS,7213201221,419,58,477,299,62.68%
Colorado,2014,G,ADAMS,7213201222,0,0,0,0,0.00%
