State,Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %
Colorado,2018,G,ADAMS,4253001245,397,27,424,290,68.40%
Colorado,2018,G,ADAMS,4255601241,43,7,50,30,60.00%
Colorado,2018,G,ADAMS,4255601246,"1,183",165,"1,348",866,64.24%
Colorado,2018,G,ADAMS,4255601247,969,71,"1,040",776,74.62%
Colorado,2018,G,ADAMS,4255601248,970,119,"1,089",686,62.99%
Colorado,2018,G,ADAMS,4255601249,355,45,400,263,65.75%
Colorado,2018,G,ADAMS,4255601251,"1,045",140,"1,185",761,64.22%
Colorado,2018,G,ADAMS,6243101150,"1,589",115,"1,704","1,253",73.53%
Colorado,2018,G,ADAMS,6243101151,"1,396",163,"1,559","1,050",67.35%
Colorado,2018,G,ADAMS,6243101159,"1,745",73,"1,818","1,388",76.35%
Colorado,2018,G,ADAMS,6243401075,616,85,701,445,63.48%
Colorado,2018,G,ADAMS,6243401076,"1,216",111,"1,327",938,70.69%
Colorado,2018,G,ADAMS,6243401077,825,72,897,671,74.80%
Colorado,2018,G,ADAMS,6243401252,"1,324",101,"1,425","1,075",75.44%
Colorado,2018,G,ADAMS,6245601071,832,87,919,639,69.53%
Colorado,2018,G,ADAMS,6245601072,456,15,471,357,75.80%
Colorado,2018,G,ADAMS,6245601073,"1,617",70,"1,687","1,335",79.13%
Colorado,2018,G,ADAMS,6245601074,"1,077",77,"1,154",871,75.48%
Colorado,2018,G,ADAMS,6245601160,372,11,383,311,81.20%
Colorado,2018,G,ADAMS,6253001152,"1,143",125,"1,268",853,67.27%
Colorado,2018,G,ADAMS,6253001153,814,79,893,616,68.98%
Colorado,2018,G,ADAMS,6253001154,58,2,60,42,70.00%
Colorado,2018,G,ADAMS,6253001155,361,36,397,282,71.03%
Colorado,2018,G,ADAMS,6253001156,570,25,595,449,75.46%
Colorado,2018,G,ADAMS,6253001157,903,98,"1,001",709,70.83%
Colorado,2018,G,ADAMS,6253001226,210,19,229,147,64.19%
Colorado,2018,G,ADAMS,6253001229,"1,396",545,"1,941",628,32.35%
Colorado,2018,G,ADAMS,6253001230,"1,655",297,"1,952","1,044",53.48%
Colorado,2018,G,ADAMS,6253001231,"1,643",363,"2,006","1,026",51.15%
Colorado,2018,G,ADAMS,6253001232,"1,799",544,"2,343",953,40.67%
Colorado,2018,G,ADAMS,6253001233,"1,402",194,"1,596",901,56.45%
Colorado,2018,G,ADAMS,6253001234,"1,163",211,"1,374",689,50.15%
Colorado,2018,G,ADAMS,6253001235,774,190,964,365,37.86%
Colorado,2018,G,ADAMS,6253001236,"1,277",197,"1,474",800,54.27%
Colorado,2018,G,ADAMS,6253001237,"1,104",210,"1,314",551,41.93%
Colorado,2018,G,ADAMS,6253001238,"1,205",162,"1,367",768,56.18%
Colorado,2018,G,ADAMS,6253001239,"1,043",159,"1,202",706,58.74%
Colorado,2018,G,ADAMS,6253001240,"1,771",254,"2,025","1,206",59.56%
Colorado,2018,G,ADAMS,6253001242,440,60,500,336,67.20%
Colorado,2018,G,ADAMS,6253001243,935,61,996,749,75.20%
Colorado,2018,G,ADAMS,6253001253,593,178,771,306,39.69%
Colorado,2018,G,ADAMS,6253101158,892,99,991,643,64.88%
Colorado,2018,G,ADAMS,6255601161,150,9,159,107,67.30%
Colorado,2018,G,ADAMS,6255601162,959,44,"1,003",822,81.95%
Colorado,2018,G,ADAMS,6255601163,562,27,589,456,77.42%
Colorado,2018,G,ADAMS,6255601164,447,20,467,382,81.80%
Colorado,2018,G,ADAMS,6255601165,"1,519",54,"1,573","1,416",90.02%
Colorado,2018,G,ADAMS,6255601166,491,28,519,411,79.19%
Colorado,2018,G,ADAMS,6255601167,573,31,604,479,79.30%
Colorado,2018,G,ADAMS,6255601168,627,14,641,472,73.63%
Colorado,2018,G,ADAMS,6255601169,512,33,545,395,72.48%
Colorado,2018,G,ADAMS,6255601170,"1,391",213,"1,604",863,53.80%
Colorado,2018,G,ADAMS,6255601171,"1,428",123,"1,551",984,63.44%
Colorado,2018,G,ADAMS,6255601172,246,58,304,157,51.64%
